"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","hidden_size","learning_rate","n_epochs","num_in","num_layers","num_pred","rid_of_top","RMSE","epoch","test_loss","train_loss"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00038_d0.50","crashed","LSTM training with lr=0.00038489768673973706, dropout=0.5","","","2025-08-03T01:13:36.000Z","45","","32","0.5","32","0.00038489768673973706","500","110","4","12","4","0.08911348887802453","6","0.006501709157772153","0.005774013868686501"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00031_d0.30","crashed","LSTM training with lr=0.000305576413420538, dropout=0.3","","","2025-08-03T00:18:09.000Z","90","","32","0.3","32","0.000305576413420538","500","110","4","12","4","0.08914918093160562","15","0.005642549149849367","0.004387028593692129"
"VanillaLSTM_pred12_r4_i110_n4_h64_e500_l0.00024_d0.30","crashed","LSTM training with lr=0.0002445029073208252, dropout=0.3","","","2025-08-03T00:06:15.000Z","90","","32","0.3","64","0.0002445029073208252","500","110","4","12","4","0.08958813325071364","15","0.007755686749153281","0.004655842259667566"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00067_d0.30","crashed","LSTM training with lr=0.0006748478647152447, dropout=0.3","","","2025-08-02T23:28:23.000Z","91","","32","0.3","32","0.0006748478647152447","500","110","4","12","4","0.089716685249046","15","0.005679203390121109","0.003889909043798433"
"VanillaLSTM_pred12_r4_i110_n3_h128_e500_l0.00042_d0.30","crashed","LSTM training with lr=0.000417492796700373, dropout=0.3","","","2025-08-03T00:53:03.000Z","106","","32","0.3","128","0.000417492796700373","500","110","3","12","4","0.09054754873693815","20","0.005426585145558627","0.003346981448543627"
"VanillaLSTM_pred12_r4_i110_n4_h256_e500_l0.00030_d0.30","crashed","LSTM training with lr=0.00029883706295281336, dropout=0.3","","","2025-08-03T00:41:31.000Z","165","","32","0.3","256","0.00029883706295281336","500","110","4","12","4","0.09104267062668206","7","0.006206339806457155","0.004957798834435233"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00033_d0.30","crashed","LSTM training with lr=0.0003347326503510619, dropout=0.3","","","2025-08-03T00:26:50.000Z","45","","32","0.3","32","0.0003347326503510619","500","110","4","12","4","0.09114822641175284","7","0.006608099156484685","0.005735193788779851"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00066_d0.30","crashed","LSTM training with lr=0.0006647595475469449, dropout=0.3","","","2025-08-02T23:29:38.000Z","105","","32","0.3","32","0.0006647595475469449","500","110","4","12","4","0.09121056805663788","23","0.0054384058124989434","0.0034177547414596006"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00020_d0.50","crashed","LSTM training with lr=0.00020168252759576746, dropout=0.5","","","2025-08-02T23:38:58.000Z","45","","32","0.5","32","0.00020168252759576743","500","110","4","12","4","0.0916203574307282","7","0.008920297663670017","0.006256574536979904"
"VanillaLSTM_pred12_r4_i110_n4_h128_e500_l0.00010_d0.40","crashed","LSTM training with lr=9.549361935607614e-05, dropout=0.4","","","2025-08-02T23:45:39.000Z","61","","32","0.4","128","0.00009549361935607614","500","110","4","12","4","0.0916996081216004","5","0.005882847750395541","0.006050433483324014"
